id,student_id,course_id,enrollment_date,status,final_grade
44444444-4444-4444-4444-444444444401,22222222-2222-2222-2222-222222222101,33333333-3333-3333-3333-333333333301,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444402,22222222-2222-2222-2222-222222222101,33333333-3333-3333-3333-333333333310,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444403,22222222-2222-2222-2222-222222222102,33333333-3333-3333-3333-333333333306,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444404,22222222-2222-2222-2222-222222222102,33333333-3333-3333-3333-333333333301,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444405,22222222-2222-2222-2222-222222222103,33333333-3333-3333-3333-333333333310,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444406,22222222-2222-2222-2222-222222222104,33333333-3333-3333-3333-333333333314,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444407,22222222-2222-2222-2222-222222222105,33333333-3333-3333-3333-333333333318,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444408,22222222-2222-2222-2222-222222222106,33333333-3333-3333-3333-333333333302,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444409,22222222-2222-2222-2222-222222222106,33333333-3333-3333-3333-333333333303,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444410,22222222-2222-2222-2222-222222222107,33333333-3333-3333-3333-333333333322,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444411,22222222-2222-2222-2222-222222222107,33333333-3333-3333-3333-333333333323,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444412,22222222-2222-2222-2222-222222222108,33333333-3333-3333-3333-333333333325,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444413,22222222-2222-2222-2222-222222222108,33333333-3333-3333-3333-333333333326,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444414,22222222-2222-2222-2222-222222222109,33333333-3333-3333-3333-333333333329,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444415,22222222-2222-2222-2222-222222222110,33333333-3333-3333-3333-333333333307,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444416,22222222-2222-2222-2222-222222222121,33333333-3333-3333-3333-333333333319,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444417,22222222-2222-2222-2222-222222222111,33333333-3333-3333-3333-333333333304,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444418,22222222-2222-2222-2222-222222222111,33333333-3333-3333-3333-333333333305,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444419,22222222-2222-2222-2222-222222222112,33333333-3333-3333-3333-333333333311,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444420,22222222-2222-2222-2222-222222222112,33333333-3333-3333-3333-333333333312,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444421,22222222-2222-2222-2222-222222222113,33333333-3333-3333-3333-333333333320,2024-08-15 00:00:00,active,
44444444-4444-4444-4444-444444444422,22222222-2222-2222-2222-222222222114,33333333-3333-3333-3333-333333333315,2024-08-15 00:00:00,active,
